SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
3,4,"""4""","""8""","""1""","""2""",3,"""5""",2,"""9""",3,"""2""",2,1,"""1""",8,7,1,"""1""","""0""","""1""","""1""","""2""","""2""",
6,1,"""1""","""11""","""1""","""2""",2,"""1""",1,"""1""",2,"""1""",2,1,"""1""",6,6,1,"""1""","""0""","""2""","""4""","""1""","""1""",
10,4,"""4""","""12""","""2""","""1""",2,"""2""",1,"""3""",2,"""1""",2,1,"""1""",5,7,1,"""1""","""0""","""2""","""4""","""2""","""5""",0
14,4,"""4""","""20""","""1""","""1""",3,"""4""",1,"""6""",3,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""4""","""3""","""2""",
15,4,"""4""","""17""","""1""","""2""",3,"""8""",2,"""1""",3,"""2""",3,1,"""1""",7,6,1,"""1""","""0""","""2""","""4""","""2""","""1""",0
16,4,"""4""","""13""","""2""","""1""",2,"""2""",1,"""1""",2,"""1""",2,1,"""1""",10,10,1,"""1""","""0""","""2""","""4""","""3""","""3""",1
17,4,"""4""","""36""","""1""","""1""",3,"""4""",1,"""9""",3,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""4""","""3""","""1""",0
19,2,"""2""","""35""","""1""","""1""",2,"""3""",2,"""4""",2,"""1""",2,1,"""1""",6,5,1,"""1""","""0""","""2""","""2""","""3""","""5""",1
21,2,"""2""","""19""","""1""","""1""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",0
23,2,"""2""","""5""","""1""","""1""",2,"""3""",1,"""2""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""1""",-1.11022E-16
25,2,"""2""","""13""","""1""","""2""",2,"""4""",1,"""8""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""4""","""2""","""1""",-0.2
26,4,"""4""","""16""","""1""","""1""",3,"""3""",1,"""4""",3,"""2""",1,1,"""1""",6,8,1,"""1""","""0""","""2""","""4""","""3""","""3""",-0.4
36,2,"""2""","""11""","""2""","""2""",2,"""1""",1,"""3""",2,"""2""",2,1,"""1""",6,9,1,"""1""","""0""","""2""","""4""","""3""","""2""",-0.6
55,4,"""4""","""13""","""2""","""1""",3,"""5""",1,"""8""",3,"""2""",2,1,"""1""",1,0,1,"""1""","""2""","""2""","""4""","""1""","""4""",-0.8
61,5,"""5""","""11""","""1""","""1""",2,"""6""",1,"""6""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""3""","""2""","""5""",-1
73,2,"""2""","""13""","""2""","""1""",3,"""1""",1,"""5""",3,"""2""",3,1,"""1""",6,5,1,"""1""","""0""","""1""","""2""","""2""","""5""",-1.2
75,2,"""2""","""-98""","""1""","""3""",2,"""1""",2,"""2""",2,"""1""",2,1,"""1""",7,10,1,"""1""","""0""","""1""","""3""","""3""","""2""",-1.4
81,2,"""2""","""7""","""2""","""2""",2,"""2""",1,"""2""",2,"""1""",2,1,"""1""",10,7,1,"""1""","""0""","""2""","""3""","""3""","""4""",-1.6
86,2,"""2""","""6""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",4,4,1,"""1""","""0""","""2""","""3""","""2""","""1""",-1.8
88,1,"""1""","""17""","""2""","""1""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",8,5,1,"""1""","""0""","""1""","""3""","""3""","""2""",-2
91,2,"""2""","""16""","""1""","""3""",2,"""4""",2,"""2""",2,"""2""",2,1,"""1""",8,6,1,"""1""","""0""","""2""","""4""","""3""","""3""",
93,4,"""4""","""1""","""1""","""1""",3,"""4""",2,"""2""",3,"""2""",2,1,"""1""",3,6,1,"""1""","""0""","""1""","""2""","""2""","""3""",
100,4,"""4""","""1""","""1""","""1""",2,"""4""",2,"""2""",2,"""2""",2,1,"""1""",8,6,1,"""1""","""0""","""1""","""2""","""2""","""4""",
105,2,"""2""","""-98""","""2""","""1""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""1""","""2""","""2""",
113,4,"""4""","""11""","""2""","""1""",2,"""4""",1,"""9""",2,"""2""",2,1,"""1""",7,10,1,"""1""","""0""","""1""","""3""","""3""","""4""",1
114,5,"""5""","""13""","""1""","""3""",2,"""1""",2,"""2""",2,"""1""",3,1,"""1""",3,4,1,"""1""","""0""","""1""","""4""","""3""","""2""",
